Precio,Descripcion,Año,Km
4600000,Vendo Tracker Ltz 18,2018,80000
2600000,Gol Trend Nafta!!!,2015,1
3200000,Furgon como nuevo excelente estado,2017,42000
1250000,2006 CHEVROLET CORSA II,2006,142000
2750000,Chevrolet onix 2013 full LTZ,2013,90000
3700000,VW Up! High 5P 2019 4 Cubiertas Nuevas,2019,63000
4800000,Volkswagen Vento Advance,2015,58000
950000,Renault Clio 2,2005,110000
1470000,VENDO FOCUS 2004 Edge Security 18 16v 110 CV 5 pts FULL,2004,145000
2500000,Fiat Punto 14,2013,11111111
3300000,Ford Ranger,2011,11111111
2500000,FIAT PALIO 2015 CON 44500  LISTO PARA TRANSFERIR,2015,44500
7500,Honda Fit 14 LX 5 PTAS L/09 AT,2009,136000
1400000,Corsa Wagon 2009 16 GLS GNC,2009,111111111
8300000,Hilux srv 28 hermosa,2017,120000
300000,Vendo regatta gran oportunidad Escucho ofertas,1994,123
5450000,Excelente Ford Ranger safety 22 2015 manual única pocos ,2015,120000
3300000,Chevrolet prisma joy LS 2018,2018,79000
1950000,FORD FOCUS 2012,2012,147
1600000,VOLKSWAGEN GOL POWER 2012,2012,100
5700000,VOLKSWAGEN AMAROK 2017,2017,100
4800000,VOLKSWAGEN POLO 2022,2022,0
4800000,Chevrolet onix premier 2020 igual a nuevo,2020,7000
2450000,CHEVROLET Montana LS pack con A/A y Dirección con GNC de 5ta Generación,2015,106000
120000,Super Europa,1988,80
10500000,Corolla cross xei AT 0,2022,1
6350000,Chevrolet S10 LT 2018,2018,108000
4100000,Renault Oroch 2017,2017,92000
200000,Renault 19 GNC,1998,100000
5900000,Toyota Prius 2018 gris oscuro Unico dueño en Garantía,2018,78500
1500000,Vendo Fiat Palio 2009 14 exl NAFTA,2009,200000
700000,vendo ford escor 97 nafta,1997,29639
2700000,Peugeot 308 allure navegador 2012,2012,87000
1750000,Volkswagen Gol Trendline 16 2010,2010,200046
2700000,Volkswagen up 2015,2015,37000
5600000,Chevrolet  0 28 LS 4x2 D/C 2017,2017,117000
3290000,VOLKSWAGEN UP CROSS 10 2017,2017,55000
1850000,RENAULT CLIO 12 AUTHENTIQUE PACK II 5P 2012,2012,135000
3490000,FORD ECOSPORT 20 TITANIUM 2014,2014,160000
10800000,TOYOTA HILUX 28 SRV 4X4 D/C M/T 2019,2019,110000
2950000,VOLKSWAGEN UP 10 MOVE 5P 2018,2018,83000
3200000,CHEVROLET ONIX 14 LTZ M/T 2016,2016,90000
4250000,Toyota Rav4 2012 full 4x2,2012,159000
600000,Fiat uno SCR MOD94,1994,100
2750000,Volkswagen gol trend 2017 msi,2017,100000
31500,fiat toro 2021 diesel 4x4 full full  9800 T/ptas pto,2021,9800
2200000,Agile exelente,2015,33000
4200000,Vendo Corolla buen estado,2017,73000
11000,Peugeot 508 2014 Allure c/ Techo,2014,101555
11000000,Toyota sw4 2016 srx full 7 asientos cuero automática,2016,200000
6750000,Chevrolet S10 4x2 Midnight,2019,530000
4600000,YARIS TOYOTA IMPECABLE,2019,40000
6350000,Toyota Hilux 2013 srv cuero manual,2013,140000
100000,Vendo Gacel con gnc,1986,111111114
4290000,LIQUÍDO IMPECABLE!! VW Saveiro 16 DC Pack High C/GNC 2018,2018,82000
24500,1ª MANO NUEVO!! VW Golf Comfortline 14 TSI DSG 2019,2019,75000
1800000,Agrale dinamyc doble cabina,1998,100000
2150000,Clio mio 2014 full 3p,2014,98000
2700000,Partner patagonica VTV plus 16N con GNC,2012,205000
3900000,Fox 2019 Full 16 unica mano,2019,51000
1800000,Celta 2012 VTV 2023 A/A unica mano,2012,84000
5200000,Ford Ranger 22 Diesel DC 4x2 XL Safety 2013,2013,111000
1850000,Fiat punto full 13 2010,2010,122222
1450000,EXCELENTE ASTRA GNC 2007,2007,180000
2950000,VENDO Ford Ranger 2008,2008,261500
1700000,CITROEN C4 SX 4 Puertas 2008,2008,190000
6800000,Ford Ranger 22 XL 2020,2020,95000
5250000,Chevrolet tracker 4x4,2016,80000
10000000,vendo kia carnival único dueño,2017,91000
1850000,CHEVROLET D20 CUSTOM DELUXE,1992,350000
1150000,Vendo Ford fiesta 2010,2010,207000
6300000,Vendo HONDA H modelo EXL año 2017,2017,50000
3200000,Vendo UP! MOVE Año 2018 Impecable todo al dia Listo para transferir Naftero motor 10,2018,141000
1250000,Vendo vw saveiro 2005,2005,11111
2250000,Suran impecable titular,2011,118000
1850000,Vendo Renault Sandero modelo 2012,2012,87400
7000000,CRUZE PREMIER 2022,2022,4000
3300000,Kwid intense 2020 con 33500 reales,2020,34000
4200000,MITSUBISHI OUTLANDER 24 GLS CVT AT6 CON LEVAS 4WD 2013 SEGUNDO DUEÑO 117000  TITULAR,2013,117000
5600000,Impecable Nissan Kicks 2018 nueva 17333  nafta,2018,17333
9250000,Mercede Benz Sprinter 21 415 Combi 3665 150cv 15+1 Te 2018 Unico dueño Acepto Vehiculo de menor valor,2018,240000
8000000,2021 Chevrolet S10 LS 4x2 Línea 2021,2021,32000
4400000,Citroen C4 Lounge 16 Hdi 2018 Linea nueva 48000  Unico dueño Acepto menor valor,2018,48000
16500,Mini Cooper Countryman 2012,2012,52000
3350000,Volkswagen Fox mod 2017 34700,2017,34700
2750000,Fiorino 2018 GNC,2018,97000
2500000,FOCUS 20 EXE TREND 2013 TITULAR 2DO DUEÑO VTV EXCELENTE,2013,1700000
5500000,2013 Toyota Hilux DX Pack 4x2 25TDI,2013,186000
2700000,Ford Ranger limited 4x4 doble cabina año 2007,2007,310000
7300000,VOLKSWAGEN AMAROK ULTIMATE 4X4 MANUL 2016,2016,140000
2955555,Citroen c4,2009,250000
1900000,PEUGEOT 207 FELINE 4 PTAS,2013,88600
1500000,Logan Nafta/GNC Full 08 PERMUTO,2008,143000
